nav_products|Produits|Productos|Produtos|Продукция|产品目录
step2_body|Vérifiez la matière, la coupe, les mesures, les couleurs et le marquage sur un échantillon identifié. Consignez chaque correction et la version approuvée.|Revisa tejido, ajuste, medidas, colores y personalización en una muestra identificada. Registra cada corrección y la versión aprobada.|Verifique tecido, corte, medidas, cores e personalização numa amostra identificada. Registe cada correção e a versão aprovada.|Проверьте материал, посадку, размеры, цвета и нанесение на идентифицированном образце. Зафиксируйте изменения и утверждённую версию.|对照有编号的样品检查面料、版型、尺寸、颜色和标识，记录每次修改与最终确认版本。
step3|Confirmer la production|Confirma la producción|Confirmar a produção|Согласовать производство|确认大货生产
step3_body|Confirmez le devis, les matières, les quantités par taille, les fichiers finaux, les conditions de paiement et les contrôles. Le délai commence au point convenu par écrit.|Confirma presupuesto, materiales, cantidades por talla, archivos finales, pagos e inspecciones. El plazo comienza en el momento acordado por escrito.|Confirme orçamento, materiais, quantidades por tamanho, ficheiros finais, pagamentos e inspeções. O prazo começa no momento acordado por escrito.|Согласуйте стоимость, материалы, разбивку размеров, финальные файлы, оплату и проверки. Начало срока производства фиксируется письменно.|确认报价、材料、尺码配比、最终文件、付款安排和检验要求，并书面约定交期起算条件。
step4|Contrôler et préparer l’expédition|Inspecciona y prepara el envío|Inspecionar e preparar a expedição|Проверить и подготовить отгрузку|检验与出货准备
step4_body|Vérifiez le lot, l’étiquetage, le conditionnement et les documents. Convenez du traitement des écarts avant d’autoriser l’expédition.|Revisa lote, etiquetas, embalaje y documentos. Acuerda cómo resolver desviaciones antes de autorizar el envío.|Verifique o lote, as etiquetas, a embalagem e os documentos. Acorde como resolver desvios antes de autorizar a expedição.|Проверьте партию, маркировку, упаковку и документы. Согласуйте устранение отклонений до разрешения отгрузки.|核查货物、标签、包装和单证，在批准出货前明确偏差的处理方式。
related|À explorer également|También te puede interesar|Explore também|Другие направления|相关产品与资料
faq_heading|Avant de lancer votre commande|Antes de iniciar tu pedido|Antes de iniciar a sua encomenda|Перед размещением заказа|下单前需要了解
faq_moq_q|Quelle est la quantité minimale ?|¿Cuál es la cantidad mínima?|Qual é a quantidade mínima?|Каков минимальный объём заказа?|最低起订量是多少？
faq_moq_a|Elle dépend du modèle, du tissu, des couleurs, du marquage et de l’emballage. Indiquez la quantité totale et la répartition pour obtenir une réponse adaptée.|Depende del modelo, tejido, colores, personalización y embalaje. Indica el total y su distribución para recibir una respuesta adecuada.|Depende do modelo, tecido, cores, personalização e embalagem. Indique o total e a distribuição para receber uma resposta adequada.|Он зависит от модели, ткани, цветов, нанесения и упаковки. Сообщите общее количество и разбивку для предметного расчёта.|起订量取决于款式、面料、颜色、定制工艺和包装。请提供总量与配比，以便针对项目确认。
faq_sample_q|Puis-je commencer par un échantillon ?|¿Puedo empezar con una muestra?|Posso começar com uma amostra?|Можно ли начать с образца?|能否先制作样品？
faq_sample_a|Le but de l’échantillon, les frais, les retouches et le transport doivent être convenus avant le lancement. L’approbation doit identifier la version autorisée pour la série.|El objetivo, coste, cambios y transporte de la muestra deben acordarse antes de empezar. La aprobación debe identificar la versión autorizada para producción.|O objetivo, custo, alterações e transporte da amostra devem ser acordados antes de começar. A aprovação deve identificar a versão autorizada para produção.|Цель образца, стоимость, доработки и доставка согласуются заранее. Утверждение должно указывать версию, разрешённую для производства.|样品用途、费用、修改范围与快递费用需事先确认，最终审批应明确可用于大货的版本。
faq_time_q|Quel délai dois-je prévoir ?|¿Qué plazo debo prever?|Que prazo devo prever?|Какие сроки нужно учитывать?|需要预留多长时间？
faq_time_a|Séparez développement, échantillons, achats de matières, production, inspection et transport. Une date d’événement ne remplace pas un calendrier confirmé.|Separa desarrollo, muestras, compra de materiales, producción, inspección y transporte. La fecha de un evento no sustituye un calendario confirmado.|Separe desenvolvimento, amostras, compra de materiais, produção, inspeção e transporte. A data de um evento não substitui um calendário confirmado.|Разделите разработку, образцы, закупку материалов, производство, проверку и доставку. Дата мероприятия не заменяет согласованный график.|应分别预留开发、样品、材料采购、生产、检验和运输时间，活动日期不能代替已确认的交付计划。
cta_heading|Préparons votre prochaine collection|Preparemos tu próxima colección|Vamos preparar a sua próxima coleção|Подготовим вашу следующую коллекцию|一起规划您的下一个产品系列
cta_body|Envoyez vos références, quantités et objectifs. Nous pourrons préciser le périmètre, les informations manquantes et la prochaine étape.|Envía referencias, cantidades y objetivos. Podremos definir el alcance, los datos pendientes y el siguiente paso.|Envie referências, quantidades e objetivos. Poderemos definir o âmbito, os dados em falta e o passo seguinte.|Пришлите референсы, количество и цели. Это поможет уточнить объём работ, недостающие данные и следующий шаг.|发送参考资料、数量与目标，便于明确项目范围、补充信息和下一步安排。
search|Rechercher un produit…|Buscar un producto…|Pesquisar um produto…|Найти продукцию…|搜索产品名称……
search_label|Rechercher dans le catalogue|Buscar en el catálogo|Pesquisar no catálogo|Поиск по каталогу|搜索产品目录
filter_all|Tous les produits|Todos los productos|Todos os produtos|Вся продукция|全部产品
search_empty|Aucun résultat. Essayez un autre terme.|Sin resultados. Prueba otra palabra.|Sem resultados. Experimente outro termo.|Ничего не найдено. Попробуйте другой запрос.|没有匹配的产品，请尝试其他关键词。
search_count|produits affichés|productos mostrados|produtos apresentados|найдено товаров|个产品
read_guide|Lire le guide|Leer la guía|Ler o guia|Читать руководство|阅读指南
source_english|Consulter le dossier technique détaillé en anglais|Consultar el documento técnico detallado en inglés|Consultar o documento técnico detalhado em inglês|Подробные технические материалы на английском|查看英文版详细技术资料
download_english|Télécharger la fiche de travail — anglais|Descargar la hoja de trabajo — inglés|Descarregar a ficha de trabalho — inglês|Скачать рабочую таблицу — английский|下载工作表（英文）
guide_label|Guide de préparation d’achat|Guía de preparación de compra|Guia de preparação de compra|Подготовка закупки|采购准备指南
guide_intro|Préparez une décision traçable : identifiez le produit, les exigences, les documents et la personne qui approuve chaque étape.|Prepara una decisión documentada: identifica el producto, los requisitos, los documentos y quién aprueba cada etapa.|Prepare uma decisão documentada: identifique o produto, os requisitos, os documentos e quem aprova cada etapa.|Сделайте решение проверяемым: укажите изделие, требования, документы и ответственного за каждый этап согласования.|让采购决定有据可查：明确产品、要求、文件，以及各环节的审批负责人。
contact_intro|Décrivez votre projet une seule fois. Utilisez le formulaire sécurisé lorsqu’il est disponible, ou préparez votre demande par WhatsApp ou e-mail.|Describe tu proyecto una vez. Utiliza el formulario seguro cuando esté disponible o prepara tu solicitud por WhatsApp o correo.|Descreva o seu projeto uma vez. Use o formulário seguro quando disponível ou prepare o pedido por WhatsApp ou e-mail.|Опишите проект один раз. Отправьте его через защищённую форму, если она доступна, либо подготовьте сообщение в WhatsApp или по электронной почте.|填写一次项目需求，可在服务可用时通过安全表单提交，也可整理后通过 WhatsApp 或邮件发送。
name|Votre nom|Tu nombre|O seu nome|Ваше имя|您的姓名
email|Adresse e-mail|Correo electrónico|Endereço de e-mail|Электронная почта|电子邮箱
phone|Téléphone ou WhatsApp|Teléfono o WhatsApp|Telefone ou WhatsApp|Телефон или WhatsApp|电话或 WhatsApp
buyer|Votre activité|Tu actividad|A sua atividade|Ваш бизнес|采购商类型
buyer_brand|Marque ou entreprise|Marca o empresa|Marca ou empresa|Бренд или компания|品牌或企业
buyer_team|Club, école ou équipe|Club, escuela o equipo|Clube, escola ou equipa|Клуб, школа или команда|俱乐部、学校或团队
buyer_distributor|Distributeur|Distribuidor|Distribuidor|Дистрибьютор|经销商
product|Produit ou programme|Producto o programa|Produto ou programa|Изделие или проект|产品或项目类型
quantity|Quantité estimée|Cantidad estimada|Quantidade estimada|Примерное количество|预计数量
market|Pays de livraison ou marché|País de entrega o mercado|País de entrega ou mercado|Страна доставки или рынок|收货国家或目标市场
timeline|Date cible|Fecha objetivo|Data pretendida|Желаемая дата|期望日期
message|Détails du projet|Detalles del proyecto|Detalhes do projeto|Описание проекта|项目详情
message_hint|Produits, tissu, tailles, couleurs, logos, emballage et points à développer.|Productos, tejido, tallas, colores, logotipos, embalaje y aspectos por desarrollar.|Produtos, tecido, tamanhos, cores, logótipos, embalagem e pontos a desenvolver.|Изделия, ткань, размеры, цвета, логотипы, упаковка и задачи разработки.|请说明产品、面料、尺码、颜色、标志、包装和需要开发的内容。
reference|Lien vers vos fichiers — facultatif|Enlace a tus archivos — opcional|Ligação para os seus ficheiros — opcional|Ссылка на файлы — необязательно|参考文件链接（选填）
files|Fichiers de référence — facultatifs|Archivos de referencia — opcionales|Ficheiros de referência — opcionais|Файлы-референсы — необязательно|参考文件（选填）
files_note|Jusqu’à 5 fichiers, 20 Mo au total. Le formulaire sécurisé transmet uniquement leurs noms. Joignez les fichiers dans WhatsApp ou votre e-mail.|Hasta 5 archivos, 20 MB en total. El formulario seguro solo envía sus nombres. Adjunta los archivos en WhatsApp o en el correo.|Até 5 ficheiros, 20 MB no total. O formulário seguro envia apenas os nomes. Anexe os ficheiros no WhatsApp ou no e-mail.|До 5 файлов, суммарно 20 МБ. Защищённая форма передаёт только названия. Прикрепите файлы в WhatsApp или к письму.|最多 5 个文件，总计 20 MB。安全表单仅记录文件名；请在 WhatsApp 或邮件中另行添加附件。
consent|J’accepte l’utilisation de mes coordonnées et des détails du projet pour répondre à cette demande.|Acepto que mis datos de contacto y del proyecto se utilicen para responder a esta consulta.|Aceito a utilização dos meus dados de contacto e do projeto para responder a este pedido.|Я согласен на использование контактных данных и описания проекта для ответа на запрос.|我同意使用联系信息与项目资料回复本次询盘。
submit|Envoyer la demande sécurisée|Enviar consulta segura|Enviar pedido seguro|Отправить защищённый запрос|安全提交询盘
whatsapp|Préparer sur WhatsApp|Preparar en WhatsApp|Preparar no WhatsApp|Подготовить в WhatsApp|通过 WhatsApp 发送
email_action|Préparer un e-mail|Preparar un correo|Preparar um e-mail|Подготовить письмо|通过邮件发送
copy|Copier le brief|Copiar los detalles|Copiar o briefing|Скопировать задание|复制项目需求
share|Partager le brief et les fichiers|Compartir detalles y archivos|Partilhar briefing e ficheiros|Поделиться заданием и файлами|分享需求与文件
sending|Envoi en cours…|Enviando…|A enviar…|Отправка…|正在提交……
sent|Votre demande a été reçue.|Tu consulta se ha recibido.|O seu pedido foi recebido.|Ваш запрос получен.|您的询盘已成功接收。
submit_error|L’envoi n’a pas été confirmé. Réessayez ou utilisez WhatsApp ou l’e-mail.|No se ha confirmado el envío. Reintenta o utiliza WhatsApp o el correo.|O envio não foi confirmado. Tente novamente ou use WhatsApp ou e-mail.|Отправка не подтверждена. Повторите попытку или используйте WhatsApp либо почту.|尚未确认提交成功，请重试或使用 WhatsApp、邮件联系。
verify|Veuillez terminer la vérification avant l’envoi.|Completa la verificación antes de enviar.|Conclua a verificação antes de enviar.|Пройдите проверку перед отправкой.|请先完成人机验证。
copied|Brief copié. Vous pouvez le coller dans votre message.|Detalles copiados. Puedes pegarlos en tu mensaje.|Briefing copiado. Pode colá-lo na sua mensagem.|Задание скопировано. Вставьте его в сообщение.|项目需求已复制，可粘贴到消息中。
copy_error|Copie indisponible. Utilisez l’e-mail ou WhatsApp.|No se puede copiar. Utiliza el correo o WhatsApp.|Cópia indisponível. Use e-mail ou WhatsApp.|Копирование недоступно. Используйте почту или WhatsApp.|无法复制，请使用邮件或 WhatsApp。
file_error|Limitez la sélection à 5 fichiers et 20 Mo.|Selecciona como máximo 5 archivos y 20 MB.|Selecione no máximo 5 ficheiros e 20 MB.|Выберите не более 5 файлов общим размером до 20 МБ.|请选择不超过 5 个文件，总大小不超过 20 MB。
receipt_empty|Cette page seule ne confirme pas un envoi. Revenez au formulaire pour préparer votre demande.|Esta página por sí sola no confirma un envío. Vuelve al formulario para preparar tu consulta.|Esta página, por si só, não confirma um envio. Volte ao formulário para preparar o pedido.|Сама эта страница не подтверждает отправку. Вернитесь к форме для подготовки запроса.|仅打开此页面不代表已成功提交，请返回表单准备需求。
missing_body|La page demandée n’est pas disponible. Revenez au catalogue ou contactez-nous.|La página solicitada no está disponible. Vuelve al catálogo o contáctanos.|A página pedida não está disponível. Volte ao catálogo ou contacte-nos.|Запрошенная страница недоступна. Откройте каталог или свяжитесь с нами.|所请求的页面暂不可用，请返回产品目录或联系我们。
footer_body|Des collections de sport, des échantillons et des approbations organisés autour de votre projet.|Colecciones deportivas, muestras y aprobaciones organizadas en torno a tu proyecto.|Coleções desportivas, amostras e aprovações organizadas em torno do seu projeto.|Спортивные коллекции, образцы и согласования под задачи вашего проекта.|围绕您的项目，协调运动服装系列、样品与各项确认。
rights|Tous droits réservés.|Todos los derechos reservados.|Todos os direitos reservados.|Все права защищены.|保留所有权利。
skip|Aller au contenu|Saltar al contenido|Ir para o conteúdo|Перейти к содержимому|跳转到主要内容
analytics_optional|Analyses facultatives|Analítica opcional|Análise opcional|Дополнительная аналитика|可选分析
analytics_heading|Aidez-nous à comprendre quelles pages sont utiles|Ayúdanos a saber qué páginas son útiles|Ajude-nos a perceber quais as páginas úteis|Помогите понять, какие страницы полезны|帮助我们了解哪些页面更有用
analytics_allow|Autoriser les analyses|Permitir analítica|Permitir análise|Разрешить аналитику|允许分析
analytics_decline|Refuser|Rechazar|Recusar|Отклонить|拒绝
analytics_choices|Choix d’analyse|Preferencias de analítica|Opções de análise|Настройки аналитики|分析选项
verify_complete|Vérification terminée. Vous pouvez envoyer la demande en toute sécurité.|Verificación completada. Ya puedes enviar la consulta de forma segura.|Verificação concluída. Pode enviar o pedido em segurança.|Проверка завершена. Запрос можно безопасно отправить.|验证完成，可以安全提交询盘。
verify_expired|La vérification a expiré. Recommencez avant l’envoi sécurisé.|La verificación caducó. Repítela antes de enviar de forma segura.|A verificação expirou. Repita-a antes do envio seguro.|Срок проверки истёк. Пройдите её снова перед отправкой.|人机验证已过期，请重新验证后提交。
verify_unavailable|La vérification est indisponible. Utilisez WhatsApp ou l’e-mail.|La verificación no está disponible. Usa WhatsApp o el correo.|A verificação está indisponível. Use WhatsApp ou e-mail.|Проверка недоступна. Используйте WhatsApp или почту.|人机验证暂不可用，请使用 WhatsApp 或邮件。
