active.title|Fitness, yoga et studio|Fitness, yoga y estudio|Fitness, ioga e estúdio|Фитнес, йога и студийные занятия|健身、瑜伽与室内运动
combat.points|Couverture pendant flexion et rotation;Position des coutures et renforts;Taille, ouverture de jambe et stabilité;Restrictions de la compétition concernée|Cobertura al flexionar y girar;Posición de costuras y refuerzos;Cintura, pernera y estabilidad;Restricciones de la competición concreta|Cobertura ao fletir e rodar;Posição de costuras e reforços;Cintura, abertura da perna e estabilidade;Restrições da competição em causa|Покрытие при сгибании и вращении;Расположение швов и усилений;Пояс, вырезы ног и устойчивость;Ограничения конкретного соревнования|屈伸与旋转中的遮盖;接缝位置及补强;腰头、裤口与稳定性;实际赛事对服装的限制
lifestyle.title|Collections de club et vêtements de détente|Colecciones de club y ropa casual|Coleções de clube e roupa casual|Клубные коллекции и повседневная одежда|俱乐部与日常运动休闲
lifestyle.intro|Construisez une gamme cohérente de hauts, vestes et bas. Confirmez le poids du tissu, le toucher, la coupe, les bords-côtes et les finitions pour retrouver la même identité dans l’ensemble de la collection.|Crea una gama coherente de prendas superiores, chaquetas y pantalones. Confirma gramaje, tacto, ajuste, canalé y acabados para mantener la identidad de toda la colección.|Crie uma gama coerente de partes de cima, casacos e calças. Confirme gramagem, toque, corte, canelado e acabamentos para manter a identidade de toda a coleção.|Создайте согласованную линейку верхов, курток и брюк. Определите плотность, тактильные свойства, крой, манжеты и отделку для единого характера коллекции.|协调上衣、外套与裤装系列，确认克重、手感、版型、罗纹和细节工艺，保持整组产品的品牌一致性。
lifestyle.points|Poids, toucher et intérieur du tissu;Coupe et proportions des différentes tailles;Broderies, écussons, cordons et fermetures;Étiquettes, précommandes et réassort|Gramaje, tacto e interior del tejido;Corte y proporciones por talla;Bordados, parches, cordones y cierres;Etiquetas, preventas y reposición|Gramagem, toque e interior do tecido;Corte e proporções por tamanho;Bordados, emblemas, cordões e fechos;Etiquetas, pré-encomendas e reposição|Плотность, фактура и изнанка ткани;Крой и пропорции размерного ряда;Вышивка, нашивки, шнурки и застёжки;Этикетки, предзаказы и повторные партии|克重、手感与内侧结构;不同尺码的版型比例;绣花、章标、抽绳与拉链;标签、预售与补单规划
accessories.title|Accessoires et compléments de collection|Accesorios y complementos de colección|Acessórios e complementos de coleção|Аксессуары для коллекций|运动配件与系列补充
accessories.intro|Coordonnez les accessoires avec les vêtements sans supposer qu’ils partagent le même minimum de commande ou le même délai. Chaque construction, composant et marquage doit avoir sa propre fiche approuvée.|Coordina los accesorios con las prendas sin asumir que comparten mínimos o plazos. Cada construcción, componente y personalización necesita su propia ficha aprobada.|Coordene os acessórios com a roupa sem assumir mínimos ou prazos iguais. Cada construção, componente e personalização precisa da sua própria ficha aprovada.|Согласуйте аксессуары с одеждой, не предполагая одинаковые минимальные объёмы и сроки. Для каждой конструкции, детали и нанесения нужна своя утверждённая спецификация.|配件可以与服装协调开发，但不能假设起订量与交期相同；每种结构、部件和品牌工艺都需要单独确认。
accessories.points|Dimensions, capacité et matières;Renforts, sangles, visières ou zones de maintien;Logo et couleur des composants;Conditionnement individuel et quantité par carton|Dimensiones, capacidad y materiales;Refuerzos, correas, viseras o zonas de sujeción;Logotipo y color de componentes;Embalaje individual y unidades por caja|Dimensões, capacidade e materiais;Reforços, alças, palas ou zonas de suporte;Logótipo e cor dos componentes;Embalagem individual e unidades por caixa|Размеры, вместимость и материалы;Усиления, ремни, козырьки или зоны фиксации;Логотип и цвет комплектующих;Индивидуальная упаковка и количество в коробке|尺寸、容量与材料;补强、织带、帽檐或支撑区域;标志及部件颜色;单件包装与每箱数量
packaging.title|Étiquettes et emballages|Etiquetas y embalajes|Etiquetas e embalagens|Этикетки и упаковка|标签与包装
packaging.intro|Associez les fichiers d’emballage aux bons produits, tailles et codes. Séparez les minimums par composant, le stock restant et les responsabilités en cas de changement de logo, de texte ou de gamme.|Vincula los archivos de embalaje con los productos, tallas y códigos correctos. Separa mínimos por componente, stock restante y responsabilidades ante cambios de logo, texto o colección.|Associe os ficheiros de embalagem aos produtos, tamanhos e códigos corretos. Separe mínimos por componente, stock restante e responsabilidades perante alterações de logótipo, texto ou coleção.|Свяжите макеты упаковки с правильными изделиями, размерами и кодами. Отдельно согласуйте минимумы компонентов, остатки и ответственность при изменениях логотипа, текста или ассортимента.|将包装文件与正确的产品、尺码和编码关联，分别确认各部件起订量、剩余库存，以及标志、文案或产品系列变更时的责任。
packaging.points|Dimensions, matières et fichiers finaux;Étiquettes de taille, composition et entretien;Codes-barres, sachets et regroupements;Marques de carton et traitement du stock restant|Dimensiones, materiales y archivos finales;Etiquetas de talla, composición y cuidado;Códigos de barras, bolsas y agrupaciones;Marcas de cajas y gestión del stock restante|Dimensões, materiais e ficheiros finais;Etiquetas de tamanho, composição e cuidados;Códigos de barras, sacos e agrupamentos;Marcas das caixas e gestão do stock restante|Размеры, материалы и финальные макеты;Размерные, составные и уходовые этикетки;Штрихкоды, пакеты и комплектация;Маркировка коробок и остатки упаковки|尺寸、材料与最终文件;尺码、成分及洗护标签;条形码、包装袋与组合方式;外箱标识及剩余包材处理
manufacturing.title|Choisir votre route de fabrication|Elige tu modalidad de fabricación|Escolher a modalidade de produção|Выбор схемы производства|选择制造与开发方式
manufacturing.intro|Un projet OEM part de spécifications définies par l’acheteur. Un projet ODM peut inclure une base de développement proposée. Précisez qui prépare le patron, les matières, le dossier technique et les validations pour comparer les offres.|Un proyecto OEM parte de especificaciones del comprador. Un proyecto ODM puede incluir una base de desarrollo propuesta. Define quién prepara patrón, materiales, ficha técnica y aprobaciones para comparar ofertas.|Um projeto OEM parte das especificações do comprador. Um projeto ODM pode incluir uma base de desenvolvimento proposta. Defina quem prepara moldes, materiais, ficha técnica e aprovações para comparar propostas.|Проект OEM опирается на спецификацию заказчика. ODM может включать предложенную основу разработки. Уточните ответственность за лекала, материалы, техпакет и согласования для сравнения предложений.|OEM 通常依据买方规格开展，ODM 可以包含供应方提出的开发基础。比较方案前，应明确纸样、材料、工艺单和审批分别由谁负责。
manufacturing.points|Documents déjà prêts et éléments à développer;Propriété et versions des fichiers;Échantillons, retouches et critères d’acceptation;Périmètre du devis et responsabilités|Documentos listos y aspectos por desarrollar;Propiedad y versiones de archivos;Muestras, cambios y criterios de aceptación;Alcance del presupuesto y responsabilidades|Documentos prontos e pontos a desenvolver;Propriedade e versões dos ficheiros;Amostras, alterações e critérios de aceitação;Âmbito do orçamento e responsabilidades|Готовые документы и задачи разработки;Права и версии файлов;Образцы, доработки и критерии приёмки;Объём расчёта и ответственность|已有资料与待开发项目;文件权属与版本;样品、修改及验收标准;报价范围与双方责任
commercial.title|Quantités, devis et commandes|Cantidades, presupuestos y pedidos|Quantidades, orçamentos e encomendas|Количество, стоимость и заказы|数量、报价与订单
commercial.intro|Comparez les offres sur un périmètre identique. Distinguez les coûts d’échantillons, de production, de marquage, d’emballage, de contrôle et de transport. Faites confirmer les quantités et les dates avant de lancer les achats.|Compara ofertas con el mismo alcance. Separa muestras, producción, personalización, embalaje, inspección y transporte. Confirma cantidades y fechas antes de iniciar compras.|Compare propostas com o mesmo âmbito. Separe amostras, produção, personalização, embalagem, inspeção e transporte. Confirme quantidades e datas antes de iniciar compras.|Сравнивайте предложения на одинаковых условиях. Разделяйте образцы, производство, нанесение, упаковку, проверку и доставку. Подтвердите количество и даты до закупки материалов.|在相同范围内比较报价，分别列明样品、生产、品牌加工、包装、检验与运输费用，并在采购开始前确认数量和日期。
commercial.points|Minimums par modèle, couleur et composant;Quantités par taille et tolérances convenues;Début du délai et validations nécessaires;Versions de commande et gestion des changements|Mínimos por modelo, color y componente;Cantidades por talla y tolerancias acordadas;Inicio del plazo y aprobaciones necesarias;Versiones de pedido y gestión de cambios|Mínimos por modelo, cor e componente;Quantidades por tamanho e tolerâncias acordadas;Início do prazo e aprovações necessárias;Versões da encomenda e gestão de alterações|Минимумы по модели, цвету и компоненту;Количество по размерам и согласованные допуски;Начало срока и необходимые согласования;Версии заказа и управление изменениями|按款式、颜色及部件确认起订量;尺码配比与约定的允许偏差;交期起点与所需审批;订单版本及变更管理
fabric.title|Définir la matière et la couleur|Define tejido y color|Definir tecido e cor|Выбор материала и цвета|确认面料与颜色
fabric.intro|Un nom de tissu ne suffit pas à définir le résultat. Identifiez composition, construction, poids, élasticité et couleur, puis examinez un échantillon représentatif avec le marquage prévu.|El nombre del tejido no define el resultado. Identifica composición, estructura, gramaje, elasticidad y color; después revisa una muestra representativa con la personalización prevista.|O nome do tecido não define o resultado. Identifique composição, estrutura, gramagem, elasticidade e cor; depois analise uma amostra representativa com a personalização prevista.|Название ткани не определяет результат. Укажите состав, структуру, плотность, растяжимость и цвет, затем проверьте представительный образец с выбранным нанесением.|面料名称不能充分定义最终效果；需明确成分、组织、克重、弹性及颜色，再结合实际工艺检查具有代表性的样品。
fabric.points|Composition et construction;Poids, toucher, élasticité et récupération;Couleur de référence et variations admises;Compatibilité impression, lavage et usage|Composición y estructura;Gramaje, tacto, elasticidad y recuperación;Color de referencia y variaciones aceptadas;Compatibilidad con impresión, lavado y uso|Composição e estrutura;Gramagem, toque, elasticidade e recuperação;Cor de referência e variações aceites;Compatibilidade com impressão, lavagem e uso|Состав и структура;Плотность, фактура, растяжимость и восстановление;Эталонный цвет и допустимые отклонения;Совместимость с печатью, стиркой и применением|纤维成分与组织结构;克重、手感、弹性及回复性;标准颜色与允许偏差;印花、洗涤和使用兼容性
artwork.title|Maîtriser les fichiers et le marquage|Controla archivos y personalización|Controlar ficheiros e personalização|Управление файлами и нанесением|管理图稿与品牌工艺
artwork.intro|Fixez une version unique des fichiers, des dimensions et des emplacements. Approuvez le rendu sur la matière de production : un écran ou un fichier numérique ne remplace pas un essai physique.|Fija una versión única de archivos, medidas y posiciones. Aprueba el resultado sobre el tejido de producción: una pantalla o un archivo digital no sustituye una prueba física.|Fixe uma versão única de ficheiros, medidas e posições. Aprove o resultado no tecido de produção: um ecrã ou ficheiro digital não substitui um ensaio físico.|Зафиксируйте единую версию файлов, размеров и расположения. Утверждайте результат на производственном материале: экран и цифровой файл не заменяют физическую пробу.|统一文件版本、尺寸和位置，在大货面料上确认实际效果；屏幕或数字文件不能代替实物打样。
artwork.points|Fichiers vectoriels, polices et droits d’utilisation;Dimensions, repères et placement par taille;Référence couleur et essai sur tissu;Lavage, adhérence et suivi des révisions|Vectores, fuentes y derechos de uso;Medidas, referencias y ubicación por talla;Color de referencia y prueba sobre tejido;Lavado, adherencia y control de revisiones|Vetores, fontes e direitos de utilização;Medidas, referências e posição por tamanho;Cor de referência e ensaio em tecido;Lavagem, aderência e controlo de revisões|Векторные файлы, шрифты и права использования;Размеры, ориентиры и позиции по размерному ряду;Эталон цвета и проба на ткани;Стирка, сцепление и версии изменений|矢量文件、字体与使用权;尺寸、定位点及各尺码位置;标准色与面料打样;耐洗、附着与修改记录
construction.title|Construire une spécification exploitable|Prepara una especificación utilizable|Preparar uma especificação utilizável|Подготовка рабочей спецификации|建立可执行的工艺规格
construction.intro|Reliez dessins, nomenclature, mesures, coutures et finitions à une même version. Vérifiez toute donnée générée par IA contre les références réelles et résolvez les contradictions avant la coupe.|Vincula dibujos, materiales, medidas, costuras y acabados a una misma versión. Comprueba cualquier dato generado por IA con referencias reales y resuelve contradicciones antes del corte.|Associe desenhos, materiais, medidas, costuras e acabamentos à mesma versão. Verifique dados gerados por IA com referências reais e resolva contradições antes do corte.|Объедините чертежи, комплектующие, измерения, швы и отделку в одной версии. Проверяйте данные ИИ по реальным референсам и устраняйте противоречия до раскроя.|将款式图、物料、尺寸、接缝及工艺统一到同一版本。AI 生成的数据需与真实参考资料核对，裁剪前应解决矛盾。
construction.points|Dessins avant, dos et détails;Nomenclature des tissus, fils et accessoires;Points de mesure et tolérances;Type de couture, assemblage et ordre de validation|Dibujos delanteros, traseros y detalles;Lista de tejidos, hilos y accesorios;Puntos de medida y tolerancias;Tipo de costura, confección y orden de aprobación|Desenhos da frente, costas e detalhes;Lista de tecidos, linhas e acessórios;Pontos de medida e tolerâncias;Tipo de costura, confeção e ordem de aprovação|Вид спереди, сзади и детали;Перечень тканей, ниток и фурнитуры;Точки измерений и допуски;Типы швов, сборка и порядок согласования|正面、背面与细节图;面料、缝线和辅料清单;测量部位与公差;接缝类型、组装与审批顺序
sizing.title|Valider le barème et la coupe|Valida tallaje y ajuste|Validar tamanhos e corte|Проверка размерной сетки и посадки|验证尺码表与版型
sizing.intro|Distinguez dimensions du corps et mesures du vêtement. Choisissez les tailles et morphologies à essayer, puis notez mouvement, couverture et écarts de mesure avant d’approuver la gradation.|Distingue medidas corporales y medidas de la prenda. Selecciona tallas y proporciones para las pruebas y registra movimiento, cobertura y desviaciones antes de aprobar el escalado.|Distinga medidas do corpo e da peça. Selecione tamanhos e proporções para as provas e registe movimento, cobertura e desvios antes de aprovar a graduação.|Различайте размеры тела и изделия. Выберите размеры и типы фигур для примерок, зафиксируйте движения, покрытие и отклонения до утверждения градации.|区分人体尺寸与成衣尺寸，选择有代表性的尺码和体型进行试穿，并在批准放码前记录动作、遮盖和尺寸偏差。
sizing.points|Taille de base et points de mesure;Règles de gradation et tolérances;Essais sur plusieurs tailles et statures;Liste de joueurs et substitutions approuvées|Talla base y puntos de medida;Reglas de escalado y tolerancias;Pruebas en varias tallas y alturas;Lista de jugadores y sustituciones aprobadas|Tamanho base e pontos de medida;Regras de graduação e tolerâncias;Provas em vários tamanhos e estaturas;Lista de jogadores e substituições aprovadas|Базовый размер и точки измерений;Правила градации и допуски;Примерки разных размеров и роста;Список игроков и согласованные замены|基码与测量部位;放码规则与公差;跨尺码、跨身高试穿;队员名单与已确认的替换安排
sampling.title|Garder une référence approuvée|Mantén una referencia aprobada|Manter uma referência aprovada|Сохранение утверждённого эталона|保留已确认的标准样
sampling.intro|Chaque échantillon répond à une question précise : construction, coupe, taille, couleur ou préparation de série. Identifiez les matières et la version, puis formulez une décision écrite avec les corrections restantes.|Cada muestra responde a una pregunta: confección, ajuste, talla, color o preparación de producción. Identifica materiales y versión y deja una decisión escrita con las correcciones pendientes.|Cada amostra responde a uma questão: confeção, corte, tamanho, cor ou preparação de produção. Identifique materiais e versão e registe uma decisão escrita com as correções pendentes.|Каждый образец решает конкретный вопрос: конструкция, посадка, размер, цвет или подготовка партии. Укажите материалы и версию, письменно зафиксируйте решение и оставшиеся исправления.|每轮样品应解决明确问题，例如结构、版型、尺码、颜色或大货准备；记录材料与版本，并书面注明确认结论和剩余修改。
sampling.points|But et numéro de l’échantillon;Matières, mesures et photos annotées;Commentaires, responsable et date;Autorisation de série et changements ultérieurs|Objetivo y número de muestra;Materiales, medidas y fotos anotadas;Comentarios, responsable y fecha;Autorización de producción y cambios posteriores|Objetivo e número da amostra;Materiais, medidas e fotografias anotadas;Comentários, responsável e data;Autorização de produção e alterações posteriores|Цель и номер образца;Материалы, измерения и фотографии с пометками;Комментарии, ответственный и дата;Разрешение производства и последующие изменения|样品用途与编号;材料、尺寸与批注照片;意见、负责人和日期;大货批准及后续变更
qc.title|Contrôle et traitement des écarts|Inspección y gestión de desviaciones|Inspeção e gestão de desvios|Проверка и устранение отклонений|检验与偏差处理
qc.intro|Définissez le lot, la méthode d’échantillonnage et les critères d’acceptation avant l’inspection. Un résultat non conforme exige un tri, une action corrective et une décision de nouvelle inspection documentés.|Define lote, muestreo y criterios de aceptación antes de inspeccionar. Un resultado no conforme requiere clasificación, acción correctiva y una decisión documentada de reinspección.|Defina lote, amostragem e critérios de aceitação antes da inspeção. Um resultado não conforme exige triagem, ação corretiva e uma decisão documentada de reinspeção.|Определите партию, выборку и критерии приёмки до проверки. Несоответствие требует сортировки, корректирующих действий и документированного решения о повторной проверке.|检验前应定义批次、抽样方式与验收标准。不合格结果需要有记录的分拣、纠正措施和复检决定。
qc.points|Référence approuvée et identité du lot;Mesures, coutures, marquage et apparence;Quantités, étiquettes et emballages;Écarts, retouches et autorisation d’expédition|Referencia aprobada e identificación del lote;Medidas, costuras, personalización y aspecto;Cantidades, etiquetas y embalaje;Desviaciones, retoques y autorización de envío|Referência aprovada e identificação do lote;Medidas, costuras, personalização e aspeto;Quantidades, etiquetas e embalagem;Desvios, retoques e autorização de expedição|Утверждённый эталон и идентификация партии;Размеры, швы, нанесение и внешний вид;Количество, этикетки и упаковка;Отклонения, доработка и разрешение отгрузки|已批准的标准样与批次身份;尺寸、接缝、标识与外观;数量、标签与包装;偏差、返工和出货批准
supplier.title|Vérifier les informations du fournisseur|Verifica la información del proveedor|Verificar a informação do fornecedor|Проверка сведений о поставщике|核实供应商信息
supplier.intro|Demandez des preuves datées reliées à l’entité, au site et au produit concernés. Une photo illustrative ou une vidéo seule ne prouve pas la capacité, la propriété des installations ou la conformité d’une commande.|Pide pruebas fechadas vinculadas a la entidad, instalación y producto. Una imagen ilustrativa o un vídeo por sí solos no acreditan capacidad, propiedad de instalaciones ni conformidad de un pedido.|Peça evidências datadas ligadas à entidade, instalação e produto. Uma imagem ilustrativa ou um vídeo, por si só, não comprovam capacidade, propriedade das instalações nem conformidade de uma encomenda.|Запрашивайте датированные доказательства, связанные с компанией, площадкой и изделием. Иллюстрация или видео сами по себе не подтверждают мощности, владение фабрикой или соответствие заказа.|索取与实际主体、场所和产品对应且带日期的证据。示意图片或单段视频本身不能证明产能、厂房权属或订单合规。
supplier.points|Identité légale et périmètre d’activité;Lieu, date et origine des médias;Procédés adaptés au produit;Documents vérifiables et questions ouvertes|Identidad legal y ámbito de actividad;Lugar, fecha y origen de los medios;Procesos adecuados al producto;Documentos verificables y dudas pendientes|Identidade legal e âmbito de atividade;Local, data e origem dos conteúdos;Processos adequados ao produto;Documentos verificáveis e dúvidas pendentes|Юридическое лицо и профиль деятельности;Место, дата и происхождение материалов;Процессы для нужного изделия;Проверяемые документы и открытые вопросы|法律主体与经营范围;影像的地点、日期和来源;适合目标产品的工艺;可核实文件与未解决问题
certification.title|Relier chaque allégation à ses preuves|Vincula cada afirmación a sus pruebas|Relacionar cada alegação com as evidências|Подтверждение каждого заявления|为每项主张匹配证据
